#{"t_start": 1716476490.580547, "env_id": "None"}
r,l,t
120.0,30,0.852867
-190.0,30,0.852923
20.0,30,0.852932
10.0,30,0.852938
-170.0,30,0.852943
20.0,30,0.852947
-400.0,30,0.852951
-390.0,30,0.852955
-300.0,30,0.962458
-590.0,30,0.962496
0.0,30,0.962506
-390.0,30,0.962512
220.0,30,0.962517
110.0,30,0.962522
120.0,30,0.962526
-190.0,30,0.96253
-190.0,30,1.086655
-90.0,30,1.086702
-180.0,30,1.086713
-180.0,30,1.086719
-190.0,30,1.086723
-190.0,30,1.086728
110.0,30,1.086732
-290.0,30,1.086736
30.0,30,1.221558
0.0,30,1.221611
-190.0,30,1.221624
-290.0,30,1.22163
-380.0,30,1.221634
220.0,30,1.221644
-200.0,30,1.221648
-90.0,30,1.221654
-590.0,30,1.347164
20.0,30,1.347192
-180.0,30,1.347198
-200.0,30,1.347203
-390.0,30,1.347208
10.0,30,1.347212
120.0,30,1.347216
10.0,30,1.34722
-590.0,30,1.455218
0.0,30,1.455238
-190.0,30,1.455245
-90.0,30,1.45525
-200.0,30,1.455254
20.0,30,1.455259
-190.0,30,1.455263
-580.0,30,1.455267
-90.0,30,1.559344
-200.0,30,1.559371
-380.0,30,1.559379
-200.0,30,1.559385
-190.0,30,1.559389
-190.0,30,1.559394
-390.0,30,1.559399
120.0,30,1.559403
-180.0,30,1.665221
-180.0,30,1.665252
-180.0,30,1.665258
110.0,30,1.665263
-400.0,30,1.665268
-180.0,30,1.665273
-190.0,30,1.665277
110.0,30,1.665281
120.0,30,1.770252
-180.0,30,1.770281
-190.0,30,1.770288
-200.0,30,1.770293
20.0,30,1.770297
-190.0,30,1.770302
-190.0,30,1.770306
10.0,30,1.77031
10.0,30,1.877425
-200.0,30,1.877442
-180.0,30,1.877449
-90.0,30,1.877454
-190.0,30,1.877459
-390.0,30,1.877463
-90.0,30,1.877467
110.0,30,1.877471
20.0,30,1.983503
-190.0,30,1.98352
-190.0,30,1.983526
-180.0,30,1.983531
-300.0,30,1.983536
-190.0,30,1.98354
-80.0,30,1.983544
-200.0,30,1.983548
-180.0,30,2.090335
-190.0,30,2.090361
-180.0,30,2.090368
110.0,30,2.090376
120.0,30,2.090382
10.0,30,2.090386
10.0,30,2.09039
-600.0,30,2.090398
-190.0,30,2.196053
-190.0,30,2.196071
-180.0,30,2.196078
220.0,30,2.196083
-180.0,30,2.196088
-200.0,30,2.196092
-390.0,30,2.196096
-100.0,30,2.1961
-390.0,30,2.301141
-390.0,30,2.301157
10.0,30,2.301164
10.0,30,2.301169
-100.0,30,2.301173
20.0,30,2.301177
-190.0,30,2.301181
-190.0,30,2.301185
-400.0,30,2.406761
-90.0,30,2.40678
-90.0,30,2.406786
-190.0,30,2.406795
10.0,30,2.4068
10.0,30,2.406804
-200.0,30,2.406808
10.0,30,2.406813
-190.0,30,2.512171
-590.0,30,2.512187
-190.0,30,2.512193
-170.0,30,2.512198
20.0,30,2.512202
10.0,30,2.512207
-190.0,30,2.512211
-200.0,30,2.512215
-300.0,30,2.625048
-90.0,30,2.625087
-180.0,30,2.625095
-190.0,30,2.625101
-200.0,30,2.625105
10.0,30,2.62511
10.0,30,2.625114
10.0,30,2.625118
-390.0,30,2.736366
-190.0,30,2.73639
120.0,30,2.736396
20.0,30,2.736401
-190.0,30,2.736405
-190.0,30,2.73641
-100.0,30,2.736415
0.0,30,2.73642
-180.0,30,2.841893
-380.0,30,2.841915
-190.0,30,2.841922
-190.0,30,2.841927
-180.0,30,2.841931
-70.0,30,2.841936
-290.0,30,2.84194
-190.0,30,2.841944
-190.0,30,2.947127
-190.0,30,2.947148
-90.0,30,2.947155
-190.0,30,2.94716
10.0,30,2.947165
-90.0,30,2.94717
30.0,30,2.947174
110.0,30,2.947178
220.0,30,3.051196
-90.0,30,3.051213
10.0,30,3.05122
-180.0,30,3.051225
-90.0,30,3.051229
-400.0,30,3.051233
-390.0,30,3.051237
-90.0,30,3.051241
10.0,30,3.157194
20.0,30,3.157213
-100.0,30,3.157219
-190.0,30,3.157224
0.0,30,3.157228
10.0,30,3.157232
-190.0,30,3.157236
120.0,30,3.15724
10.0,30,3.271474
-80.0,30,3.271504
220.0,30,3.271512
-200.0,30,3.271517
120.0,30,3.271522
-290.0,30,3.271526
10.0,30,3.271531
